age,gender,customer_type,travel_type,flight_class,flight_distance,departure_delay,arrival_delay,seat_comfort,inflight_wifi,food_and_drink,cleanliness,baggage_handling,checkin_service,onboard_service,satisfaction
28,Male,Returning,Business,Economy,2358,178,114,4,2,3,3,2,3,3,0
68,Female,First-time,Business,Economy,4814,26,152,1,1,3,3,5,2,1,0
34,Male,Returning,Business,Economy,1445,50,126,3,2,2,3,2,3,2,0
25,Male,Returning,Personal,Economy,1210,74,184,4,1,4,1,4,4,1,0
52,Male,Returning,Personal,Economy,3606,143,109,4,1,1,1,2,2,1,0
52,Female,Returning,Business,Economy,1866,86,190,3,1,5,4,1,2,3,0
50,Female,First-time,Personal,Business,2695,122,106,3,3,5,3,3,2,1,0
22,Male,First-time,Personal,Business,3305,75,104,5,4,1,5,2,3,5,1
59,Male,Returning,Personal,Economy,4807,39,70,1,5,5,4,3,5,2,1
56,Female,Returning,Business,Economy,4548,66,174,2,4,2,1,2,5,1,0
58,Female,Returning,Business,Business,391,129,83,1,4,3,3,4,5,1,0
45,Male,Returning,Business,Economy,4292,101,2,1,2,2,1,3,5,4,1
24,Male,Returning,Business,Economy,630,175,45,2,3,2,2,2,5,4,1
26,Female,Returning,Business,Business,1254,179,163,1,3,2,1,4,4,5,0
25,Female,Returning,Personal,Business,4080,151,25,4,1,1,1,1,1,4,0
29,Female,Returning,Personal,Economy,2901,92,137,4,4,4,4,5,2,1,0
51,Female,Returning,Personal,Economy,3277,109,161,2,5,1,2,4,1,1,0
50,Female,First-time,Personal,Economy,4589,81,7,2,2,1,5,4,4,2,1
65,Male,Returning,Business,Economy,829,77,54,3,3,2,5,1,5,4,1
40,Female,First-time,Business,Economy,3192,1,90,3,1,4,5,3,4,3,1
41,Male,Returning,Personal,Economy,1566,64,137,1,5,1,3,2,4,4,0
54,Female,Returning,Business,Economy,1773,19,184,1,4,4,5,3,1,1,0
52,Male,Returning,Personal,Business,1897,33,113,2,5,2,3,4,2,2,0
61,Female,Returning,Personal,Business,2825,40,78,1,3,1,1,2,3,4,0
57,Female,First-time,Personal,Economy,4061,168,100,5,2,4,5,5,3,2,1
39,Male,First-time,Personal,Business,3042,22,85,4,4,5,4,5,2,4,1
44,Male,Returning,Business,Business,4935,37,44,1,2,1,2,2,5,5,1
52,Female,First-time,Personal,Economy,4725,171,49,1,5,1,2,4,4,1,0
18,Female,Returning,Business,Economy,769,66,63,3,5,1,1,1,5,1,0
52,Female,Returning,Personal,Economy,4130,61,94,5,1,4,2,3,4,3,1
54,Female,Returning,Personal,Economy,833,139,1,1,4,3,2,3,3,1,0
64,Female,Returning,Personal,Economy,4862,29,172,4,5,1,1,1,2,3,0
31,Male,First-time,Personal,Economy,4355,86,94,1,3,5,1,1,1,1,0
20,Male,Returning,Business,Economy,3979,168,61,2,3,5,1,5,1,4,0
18,Female,Returning,Personal,Economy,4387,147,141,5,2,2,4,1,2,4,1
22,Male,First-time,Business,Business,1061,117,73,1,3,3,1,2,3,5,0
43,Male,Returning,Personal,Economy,1190,5,99,5,5,3,1,5,4,4,1
31,Male,First-time,Personal,Economy,2655,74,110,1,3,4,1,4,1,2,0
56,Female,Returning,Personal,Economy,2255,131,103,4,4,2,5,5,3,4,1
44,Male,Returning,Business,Economy,3271,92,14,4,2,4,5,5,2,3,1
26,Female,First-time,Personal,Business,1972,9,13,5,4,2,4,3,5,5,1
32,Male,Returning,Personal,Economy,3136,50,158,3,5,3,4,1,3,2,0
32,Female,Returning,Personal,Economy,3944,92,156,3,5,4,2,2,3,2,0
43,Male,Returning,Personal,Business,2597,37,26,2,3,2,5,1,5,1,1
59,Female,Returning,Personal,Economy,4361,128,84,3,1,3,4,3,3,3,1
30,Female,Returning,Business,Economy,3466,135,8,5,1,3,4,1,1,4,1
68,Male,First-time,Business,Economy,1619,101,19,3,5,1,2,2,1,4,0
49,Female,Returning,Personal,Business,483,80,185,2,5,4,1,1,1,1,0
56,Female,First-time,Personal,Economy,1583,82,78,1,2,1,3,3,3,4,0
66,Female,Returning,Business,Economy,3146,160,176,3,5,3,2,2,3,2,0
69,Female,Returning,Personal,Economy,2533,142,56,5,5,4,3,1,3,4,1
49,Female,Returning,Business,Economy,4388,30,143,5,2,4,2,3,2,4,1
21,Female,Returning,Personal,Business,1732,20,99,2,4,5,2,3,5,2,1
47,Female,First-time,Personal,Economy,3440,130,74,2,4,2,1,5,3,3,0
54,Female,Returning,Business,Economy,2096,125,135,4,2,5,4,2,5,3,1
40,Male,First-time,Personal,Economy,2355,34,66,4,2,5,5,2,4,2,1
56,Male,First-time,Business,Business,3636,168,18,4,4,3,2,1,1,2,0
62,Female,First-time,Business,Economy,1082,143,104,1,4,2,1,5,2,5,0
32,Female,Returning,Business,Business,1807,44,194,5,4,5,3,2,5,5,1
60,Male,First-time,Personal,Business,4154,58,163,4,4,5,4,3,1,4,1
46,Male,First-time,Business,Economy,976,177,187,5,3,4,2,2,2,4,0
53,Male,First-time,Business,Economy,2130,11,163,2,2,3,3,5,1,5,0
30,Female,First-time,Personal,Economy,4390,139,10,1,1,5,2,4,3,4,0
49,Male,Returning,Personal,Business,4606,32,50,2,3,2,5,3,3,3,1
24,Female,Returning,Personal,Economy,1660,176,125,5,1,1,5,2,1,3,0
68,Female,Returning,Personal,Economy,4885,20,79,4,1,1,4,3,2,1,1
39,Male,Returning,Personal,Business,2986,59,182,2,5,3,3,1,1,5,0
45,Female,First-time,Personal,Economy,490,51,53,3,2,1,5,3,4,3,1
19,Female,Returning,Business,Economy,1142,166,16,1,3,4,1,2,2,1,0
59,Female,Returning,Personal,Economy,634,176,189,5,2,4,4,1,2,2,0
62,Female,First-time,Business,Economy,1410,122,169,4,4,2,2,1,1,3,0
23,Male,First-time,Personal,Business,878,105,23,2,2,3,3,1,5,1,1
45,Male,First-time,Business,Economy,361,99,144,1,1,3,3,4,1,4,0
45,Female,First-time,Business,Economy,686,153,47,4,4,1,1,4,5,1,0
61,Female,Returning,Personal,Business,1469,70,83,2,2,5,5,1,2,3,1
61,Male,Returning,Personal,Economy,2500,134,197,5,2,5,3,2,3,4,0
37,Female,First-time,Business,Business,1983,61,6,3,1,5,1,1,3,4,1
47,Male,First-time,Personal,Business,786,87,141,3,4,2,1,1,1,1,0
28,Female,Returning,Personal,Economy,4032,23,10,5,1,3,2,3,5,1,1
45,Female,First-time,Business,Economy,840,39,11,1,2,1,1,3,1,3,0
42,Male,Returning,Business,Economy,2360,75,109,5,3,2,4,3,4,4,1
56,Male,Returning,Business,Economy,4546,174,132,2,3,4,3,5,1,5,0
50,Male,First-time,Personal,Economy,1538,135,132,1,5,4,4,3,1,1,0
18,Male,First-time,Personal,Economy,1290,8,127,3,3,4,1,3,1,5,0
44,Female,Returning,Personal,Economy,4767,2,147,2,4,3,1,2,1,5,0
69,Male,Returning,Personal,Business,2599,20,53,4,5,4,4,4,5,4,1
30,Female,Returning,Business,Economy,4207,94,54,4,4,5,2,4,5,3,1
58,Male,Returning,Personal,Economy,4588,175,185,4,3,4,1,4,5,5,0
20,Male,First-time,Business,Economy,1380,174,78,3,3,2,4,5,4,3,1
56,Female,Returning,Personal,Business,497,15,89,5,2,4,4,1,4,1,1
23,Male,Returning,Personal,Economy,2494,106,96,1,4,5,3,3,1,4,0
25,Male,First-time,Business,Business,1898,92,126,3,1,4,2,2,5,2,0
44,Male,Returning,Personal,Economy,1900,132,29,2,2,1,5,5,4,4,1
26,Male,First-time,Personal,Economy,3992,138,23,2,4,5,4,4,3,2,0
54,Female,Returning,Business,Economy,4165,156,130,4,5,3,3,5,1,1,0
50,Female,First-time,Personal,Economy,983,78,121,1,4,4,5,2,2,3,0
68,Male,Returning,Business,Economy,3383,69,99,4,5,2,3,5,5,1,1
59,Male,Returning,Business,Economy,4289,47,175,2,5,4,3,4,1,4,0
61,Male,Returning,Business,Economy,632,14,70,2,3,2,2,1,1,2,0
41,Female,First-time,Business,Business,2071,33,149,5,1,1,1,4,2,2,0
32,Female,Returning,Personal,Economy,4500,59,13,5,4,3,2,4,3,4,1
49,Female,Returning,Personal,Business,3021,1,47,5,1,5,5,4,4,4,1
49,Female,Returning,Personal,Economy,1106,79,28,4,5,5,2,5,4,1,1
41,Male,Returning,Business,Economy,1364,18,49,1,3,3,1,2,2,5,1
58,Male,Returning,Personal,Economy,1188,48,137,5,1,1,2,4,2,2,0
69,Male,Returning,Personal,Economy,3223,77,198,3,2,1,2,5,4,4,0
66,Female,Returning,Personal,Economy,620,27,26,5,5,4,2,2,3,1,1
66,Male,Returning,Personal,Economy,4257,47,78,4,2,1,4,1,3,5,1
69,Female,Returning,Business,Economy,2682,95,95,1,1,4,4,4,1,3,0
29,Female,Returning,Business,Economy,3531,164,155,5,1,2,2,3,2,4,0
56,Male,Returning,Personal,Economy,2611,176,136,1,1,3,1,5,2,5,0
19,Male,Returning,Business,Business,3901,108,70,3,4,2,1,1,2,3,0
20,Male,Returning,Personal,Economy,1800,175,79,2,5,2,1,1,4,3,0
66,Female,First-time,Personal,Economy,1868,72,153,1,5,2,1,1,4,1,0
54,Female,Returning,Personal,Economy,3581,99,80,5,5,2,3,5,4,2,1
66,Male,Returning,Business,Economy,1819,28,86,4,4,5,2,2,3,4,1
34,Male,Returning,Personal,Economy,2218,156,7,4,1,1,2,3,4,5,1
66,Female,Returning,Business,Economy,4389,57,1,4,1,3,3,2,1,3,1
19,Male,Returning,Business,Economy,2165,47,184,4,2,3,1,4,4,2,0
19,Female,Returning,Personal,Economy,1705,22,179,1,4,2,5,3,3,3,0
45,Female,Returning,Business,Economy,3023,26,185,4,3,3,5,2,2,4,1
40,Male,Returning,Business,Economy,304,6,122,2,4,4,3,4,1,4,0
54,Male,Returning,Personal,Economy,1468,48,120,3,2,3,5,3,3,1,1
49,Male,Returning,Business,Business,2698,108,95,1,2,2,4,5,5,4,1
50,Male,Returning,Business,Economy,2930,67,92,1,2,3,2,4,2,4,0
18,Female,First-time,Personal,Economy,647,169,2,4,1,1,5,2,4,4,1
36,Female,First-time,Personal,Business,4520,171,135,4,3,2,4,3,3,2,0
19,Female,Returning,Business,Business,2113,153,186,1,2,5,2,4,5,5,0
61,Male,First-time,Personal,Economy,3642,150,1,4,5,1,4,4,3,5,1
43,Female,Returning,Personal,Economy,2874,72,189,4,1,3,2,5,4,4,1
49,Male,Returning,Business,Business,4125,100,114,4,3,5,2,4,3,5,1
23,Male,Returning,Business,Economy,4893,7,48,4,5,1,5,3,5,4,1
49,Male,Returning,Personal,Business,352,52,100,4,3,4,3,1,3,5,1
21,Male,First-time,Business,Economy,448,141,147,5,3,1,5,3,1,5,1
28,Male,Returning,Personal,Economy,802,134,28,5,5,5,1,3,1,3,0
34,Male,Returning,Personal,Economy,1169,136,144,5,4,4,4,5,4,2,1
55,Female,Returning,Business,Economy,3821,2,73,1,3,3,1,5,5,3,1
41,Male,First-time,Business,Business,4614,77,104,3,4,2,2,4,5,3,1
22,Female,Returning,Personal,Business,4171,144,149,1,3,3,5,5,5,5,1
69,Female,First-time,Personal,Economy,1600,171,5,5,5,2,1,4,5,1,1
51,Male,First-time,Personal,Economy,2799,85,61,1,3,2,1,1,5,1,0
23,Male,First-time,Personal,Business,4333,45,30,3,2,5,1,2,2,2,0
39,Male,First-time,Business,Economy,3589,89,189,4,2,4,2,5,3,4,0
28,Female,Returning,Personal,Economy,4153,155,118,2,3,4,2,5,5,5,0
65,Male,First-time,Business,Economy,2751,141,11,5,5,1,2,1,1,2,0
33,Female,Returning,Business,Economy,4685,8,11,5,5,3,1,5,3,3,1
50,Male,Returning,Personal,Business,638,114,190,3,1,5,4,1,4,5,1
26,Male,Returning,Business,Economy,3124,153,143,4,5,3,5,4,4,3,1
23,Female,First-time,Business,Economy,1993,129,24,4,4,1,5,5,5,2,1
33,Female,Returning,Personal,Business,1286,74,149,2,3,1,2,5,2,1,0
46,Male,Returning,Business,Economy,3790,80,90,4,2,5,1,4,2,2,0
20,Female,Returning,Business,Economy,3033,127,87,3,5,1,4,5,3,5,1
37,Female,First-time,Personal,Economy,4067,33,75,4,2,5,3,3,2,5,1
53,Female,Returning,Personal,Economy,4376,146,17,3,1,1,2,1,4,4,1
36,Female,Returning,Personal,Economy,2306,38,44,5,3,4,3,2,5,1,1
43,Female,Returning,Personal,Economy,3407,12,110,5,5,5,5,3,1,5,1
20,Male,First-time,Personal,Economy,4768,132,79,5,2,4,5,2,4,1,1
36,Male,Returning,Personal,Economy,3630,49,67,1,5,4,4,3,4,5,1
37,Female,First-time,Personal,Economy,3341,22,139,5,1,5,4,3,3,1,1
49,Male,First-time,Business,Economy,830,121,176,3,2,3,3,3,2,2,0
24,Male,Returning,Business,Economy,1223,119,160,2,2,2,5,1,1,1,0
69,Female,First-time,Personal,Economy,4418,87,190,4,3,1,4,2,1,3,0
58,Male,First-time,Business,Economy,540,156,17,5,3,1,4,4,2,2,1
50,Female,First-time,Business,Economy,2196,111,53,1,2,3,5,4,5,5,1
57,Female,Returning,Personal,Business,3624,110,111,1,3,2,5,5,2,5,1
56,Male,Returning,Business,Business,1113,71,96,3,2,3,1,1,5,4,1
35,Female,Returning,Personal,Economy,1082,153,26,2,4,2,4,1,1,3,0
57,Female,Returning,Business,Business,4355,56,77,5,5,5,3,1,3,4,1
18,Female,First-time,Personal,Economy,307,0,152,5,4,5,2,3,4,2,1
28,Female,Returning,Business,Business,4073,155,161,1,4,4,2,1,1,4,0
45,Female,Returning,Business,Economy,4970,112,87,3,5,4,5,4,1,2,0
42,Male,First-time,Business,Economy,3439,61,187,1,2,5,3,1,1,4,0
67,Male,Returning,Personal,Economy,4089,46,53,1,2,4,1,3,4,1,0
40,Female,Returning,Business,Economy,4351,77,86,2,3,5,4,2,5,2,1
48,Female,First-time,Business,Business,817,105,4,3,1,3,1,1,3,2,0
47,Male,First-time,Personal,Economy,3490,158,122,2,2,1,3,2,3,1,0
59,Female,First-time,Personal,Economy,3402,125,163,3,5,5,1,5,3,1,0
52,Male,First-time,Business,Economy,4878,176,53,5,1,5,5,3,5,3,1
24,Female,Returning,Business,Economy,3016,4,163,4,5,5,2,1,2,1,0
33,Female,Returning,Business,Economy,878,30,196,4,5,4,5,5,2,4,1
43,Female,Returning,Business,Economy,4782,36,38,3,5,4,4,5,3,1,1
65,Female,Returning,Personal,Business,4807,78,197,4,1,4,5,2,1,1,0
69,Female,First-time,Business,Economy,2165,142,108,1,4,4,3,4,1,2,0
66,Female,Returning,Business,Economy,1676,51,131,5,5,3,3,4,4,2,1
19,Female,Returning,Personal,Business,3238,138,73,5,3,5,4,4,2,1,0
18,Male,Returning,Business,Economy,1205,42,64,4,2,3,4,4,1,3,1
65,Male,Returning,Business,Economy,1264,150,167,3,2,4,2,3,3,2,0
29,Male,Returning,Business,Economy,2276,39,36,1,2,3,1,1,4,4,1
22,Female,Returning,Personal,Business,2187,62,66,3,1,5,2,1,2,4,1
54,Female,Returning,Personal,Economy,2747,129,110,4,3,5,5,3,4,1,1
49,Female,First-time,Business,Business,1291,86,158,5,3,4,1,2,1,1,0
26,Female,First-time,Business,Business,3856,72,124,5,3,5,4,1,3,3,1
58,Female,First-time,Personal,Economy,4259,174,86,3,3,3,3,5,3,1,0
52,Female,Returning,Business,Economy,3904,103,46,2,3,2,5,1,3,5,1
36,Female,Returning,Business,Economy,1383,157,154,3,4,5,2,3,1,5,0
65,Male,Returning,Personal,Economy,734,15,178,2,3,3,4,2,5,1,0
33,Female,Returning,Personal,Business,320,58,147,3,3,3,1,1,3,5,0
20,Male,Returning,Personal,Business,3222,46,12,2,1,3,1,3,5,4,1
37,Male,Returning,Business,Economy,2225,115,190,2,1,5,3,5,3,1,0
41,Female,First-time,Business,Economy,1772,157,43,2,3,2,4,4,5,4,1
50,Female,First-time,Business,Economy,1399,108,151,2,4,4,4,5,2,4,0
41,Male,Returning,Business,Economy,2937,8,124,1,3,4,5,5,2,5,1
69,Male,Returning,Personal,Economy,689,64,118,2,3,5,5,2,3,3,1
28,Female,Returning,Business,Economy,3713,58,130,2,3,5,1,1,4,4,0
66,Female,First-time,Business,Economy,2915,101,125,5,5,1,2,4,4,5,1
25,Male,First-time,Personal,Economy,1654,135,137,1,4,2,1,3,1,3,0
53,Female,Returning,Personal,Economy,4821,122,192,2,2,3,5,4,2,5,0
55,Female,First-time,Business,Business,305,179,48,4,3,3,5,1,2,5,1
57,Female,First-time,Personal,Business,490,145,123,1,2,4,5,2,4,1,0
37,Male,Returning,Personal,Economy,447,90,185,5,4,5,1,1,3,2,0
52,Male,First-time,Business,Economy,4800,95,77,3,3,2,4,3,1,3,0
65,Male,Returning,Business,Economy,4653,57,129,5,2,4,2,4,2,5,1
42,Female,First-time,Business,Economy,3850,176,193,5,2,2,2,5,1,4,0
52,Female,First-time,Business,Economy,4405,31,102,1,4,5,5,1,2,4,1
42,Male,Returning,Personal,Economy,1410,47,104,1,3,3,3,2,5,2,0
46,Male,Returning,Personal,Economy,4133,44,119,4,5,1,1,2,5,3,1
35,Male,Returning,Business,Economy,924,99,30,4,4,2,4,4,1,1,0
63,Female,Returning,Business,Economy,4425,99,67,1,5,3,5,5,4,3,1
35,Male,First-time,Personal,Economy,2475,45,36,1,3,2,3,3,4,4,1
19,Male,Returning,Business,Economy,3449,158,23,1,2,2,5,5,2,4,1
52,Female,First-time,Business,Business,1378,164,43,3,4,2,3,4,5,1,0
33,Female,Returning,Business,Economy,3851,143,82,5,4,5,2,5,5,1,1
58,Female,Returning,Business,Economy,2652,173,40,4,4,4,3,4,1,4,0
53,Male,Returning,Personal,Economy,845,125,178,4,1,2,2,5,1,5,0
50,Female,Returning,Business,Business,1495,45,41,2,3,5,2,1,4,5,1
21,Female,First-time,Personal,Economy,2369,120,107,3,1,1,1,2,4,1,0
50,Male,First-time,Business,Economy,3658,87,39,1,4,4,3,4,4,5,1
31,Female,Returning,Business,Business,2738,60,47,1,4,5,4,4,3,1,0
38,Male,Returning,Personal,Economy,916,45,112,3,5,1,4,2,5,3,1
65,Male,Returning,Business,Economy,4544,178,83,4,1,4,3,3,5,3,1
37,Female,First-time,Personal,Economy,3643,162,3,1,2,5,1,4,1,3,0
25,Female,Returning,Business,Economy,2111,80,107,2,3,1,4,1,5,1,0
24,Female,First-time,Business,Economy,471,169,59,4,2,5,5,5,1,1,0
20,Female,Returning,Business,Economy,4442,44,113,5,2,1,4,1,3,5,1
34,Female,Returning,Business,Economy,925,117,166,3,3,2,1,4,4,5,0
50,Female,Returning,Business,Economy,4363,46,4,4,4,2,2,3,3,5,1
65,Male,First-time,Personal,Economy,2554,157,105,5,5,4,2,4,4,2,0
29,Male,Returning,Personal,Economy,752,151,5,2,4,1,2,3,4,1,0
68,Female,Returning,Business,Economy,1718,170,13,3,4,2,1,2,1,3,0
39,Male,Returning,Business,Business,1053,161,197,1,1,4,2,5,4,3,0
39,Female,Returning,Personal,Economy,3672,22,125,1,2,3,2,1,3,2,0
63,Male,Returning,Personal,Economy,3023,60,139,5,2,2,1,3,2,2,0
47,Male,Returning,Business,Economy,3310,164,61,4,2,2,5,1,1,3,1
